O2Hb,HHB,THb,HB_diff,TSI
2.5195837,-1.5035996,1.015884,4.0231833,94.4993362
2.4609532,-1.5255276,0.9353256,3.9864807,94.5150604
2.394537,-1.5362289,0.858208,3.9307659,94.635231
2.3359065,-1.5581567,0.7776496,3.8940632,94.635231
2.4016342,-1.5642077,0.8373266,3.965842,94.5790024
2.5422525,-1.5540316,0.988121,4.0962844,94.4992218
2.5253043,-1.5650831,0.9601213,4.0903873,94.5546036
2.4673622,-1.5702587,0.8970035,4.037621,94.635231
2.4334657,-1.5923616,0.8410041,4.0258274,94.649353
2.3833094,-1.6087638,0.7744456,3.9920731,94.5789948
2.3168931,-1.6194651,0.697328,3.9363582,94.5403519
2.2829967,-1.6415681,0.6413286,3.9245646,94.5403519
2.4320891,-1.6258662,0.8061228,4.0579553,94.4914246
2.5062912,-1.6263914,0.8797997,4.1326823,94.4834976
2.448349,-1.631567,0.8166819,4.079916,94.4914246
2.4144526,-1.65367,0.7606825,4.0681224,94.5560684
2.3565104,-1.6588455,0.6975647,4.0153561,94.5231018
2.3141396,-1.6864742,0.6275654,4.0006137,94.5696945
2.2555091,-1.7084022,0.5470071,3.9639113,94.6106949
2.2632949,-1.7196287,0.5435663,3.9829235,94.4914246
2.4371214,-1.7041019,0.7329195,4.1412234,94.4269943
2.4703295,-1.6987512,0.7714783,4.1690807,94.4436951
2.4201732,-1.7151533,0.7049198,4.1353264,94.5316544
2.3784909,-1.7260298,0.6523612,4.1045208,94.5706482
2.3368087,-1.7369062,0.5998025,4.0737147,94.4870758
